id,difficulty,message,expected,predicted,correct,sampled_token,logprob_a,logprob_b,p_a,p_b,confidence,margin,latency_sec,prompt_tokens,completion_tokens,error,logprob_margin
case_018,medium,А как подключить новый MCP-инструмент?,A,A,True,A,0.0,-22.140625,0.9999999997576468,2.42353187746197e-10,0.9999999997576468,0.9999999995152936,0.016930809999394114,251,1,,22.140625
case_019,medium,А если руководитель сейчас отсутствует?,B,A,False,A,-1.1920928244535389e-07,-18.84375,0.9999999934496666,6.55033340321124e-09,0.9999999934496666,0.9999999868993332,0.01273465900158044,257,1,,18.843749880790718
case_020,medium,А как назначить роль аналитика Иванову?,A,A,True,A,-1.1920928244535389e-07,-20.84375,0.9999999991135087,8.864912314387847e-10,0.9999999991135087,0.9999999982270175,0.018060652999338345,268,1,,20.843749880790718
case_021,medium,Сформируй новый отчёт по сотрудникам.,A,A,True,A,-7.033323527139146e-06,-11.875006675720215,0.9999930377412601,6.962258739847377e-06,0.9999930377412601,0.9999860754825203,0.017781254999135854,265,1,,11.874999642396688
case_022,medium,А где изменить номер телефона в профиле?,A,A,True,A,-1.1920928244535389e-07,-18.71875,0.9999999925774998,7.422500156447119e-09,0.9999999925774998,0.9999999851549997,0.017240754999875207,259,1,,18.718749880790718
case_023,hard,"Да. А если попробовать через VPN, это может помочь?",B,A,False,A,-0.00025328766787424684,-8.281503677368164,0.9997468437264793,0.0002531562735208091,0.9997468437264793,0.9994936874529584,0.016921152000577422,262,1,,8.28125038970029
case_024,hard,"Спасибо, вошёл. А уведомления как отключить?",A,A,True,A,-0.0017563169822096825,-6.345506191253662,0.9982453853696824,0.001754614630317545,0.9982453853696824,0.9964907707393649,0.017060063999451813,264,1,,6.343749874271452
case_025,hard,После перехода мои сохранённые отчёты останутся?,B,A,False,A,0.0,-17.46875,0.9999999740929324,2.590706758057049e-08,0.9999999740929324,0.9999999481858648,0.017083036998883472,262,1,,17.46875
case_026,hard,"Тогда Pro. И ещё скажите, как удалить аккаунт.",A,A,True,A,-1.1920928244535389e-07,-23.125,0.9999999999094393,9.056078068421245e-11,0.9999999999094393,0.9999999998188785,0.01700462000007974,259,1,,23.124999880790718
case_027,hard,Иногда ещё появляется 500. Это может быть связано?,B,A,False,A,-1.1920928244535389e-07,-15.78125,0.9999998599477152,1.400522848499772e-07,0.9999998599477152,0.9999997198954304,0.012708930998996948,257,1,,15.781249880790718
case_028,hard,"Не помогает. Кстати, где посмотреть историю платежей?",A,A,True,A,-1.1920928244535389e-07,-20.765625,0.9999999990414745,9.585255651592527e-10,0.9999999990414745,0.9999999980829489,0.013868378999177366,258,1,,20.765624880790718
case_029,hard,Убери Санкт-Петербург и сравни Москву с Казанью за тот же период.,B,A,False,A,0.0,-22.25,0.999999999782756,2.1724399346070676e-10,0.999999999782756,0.999999999565512,0.01361839799938025,274,1,,22.25
case_030,hard,Сохрани результат. И создай встречу с отделом продаж на завтра.,A,A,True,A,-1.1920928244535389e-07,-24.625,0.999999999979793,2.0206841498656784e-11,0.999999999979793,0.9999999999595862,0.013399483999819495,274,1,,24.624999880790718
