model,endpoint,query_version,dataset,dataset_sha256,routes,routes_sha256,candidate_format,raw_scores,case_count,created_at_utc,id,difficulty,message,expected_route,predicted_route,correct,best_score,second_score,margin,routes_json,request_latency_sec,error
BAAI/bge-reranker-v2-m3,http://localhost:8011/rerank,reranker-query-v1,dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,<route name>: <route description>,True,30,2026-09-05T08:03:50.540830+00:00,case_011,easy,Теперь создай отпуск Иванову.,NEW,CONTINUE,False,0.04043579,-5.8164062,5.85684199,"[{""input_index"": 0, ""name"": ""NEW"", ""score"": -5.8164062}, {""input_index"": 1, ""name"": ""CONTINUE"", ""score"": 0.04043579}]",0.010854084001039155,
BAAI/bge-reranker-v2-m3,http://localhost:8011/rerank,reranker-query-v1,dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,<route name>: <route description>,True,30,2026-09-05T08:03:50.540830+00:00,case_012,easy,"Да, у всех отчётов белый экран.",CONTINUE,CONTINUE,True,-3.046875,-7.8554688,4.8085938,"[{""input_index"": 0, ""name"": ""NEW"", ""score"": -7.8554688}, {""input_index"": 1, ""name"": ""CONTINUE"", ""score"": -3.046875}]",0.010924447000434157,
BAAI/bge-reranker-v2-m3,http://localhost:8011/rerank,reranker-query-v1,dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,<route name>: <route description>,True,30,2026-09-05T08:03:50.540830+00:00,case_013,medium,А адрес доставки ещё можно изменить?,CONTINUE,CONTINUE,True,1.5283203,-2.9101562,4.4384765,"[{""input_index"": 0, ""name"": ""NEW"", ""score"": -2.9101562}, {""input_index"": 1, ""name"": ""CONTINUE"", ""score"": 1.5283203}]",0.01127394600007392,
BAAI/bge-reranker-v2-m3,http://localhost:8011/rerank,reranker-query-v1,dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,<route name>: <route description>,True,30,2026-09-05T08:03:50.540830+00:00,case_014,medium,А где изменить email в профиле?,NEW,CONTINUE,False,-0.3256836,-5.6523438,5.3266602,"[{""input_index"": 0, ""name"": ""NEW"", ""score"": -5.6523438}, {""input_index"": 1, ""name"": ""CONTINUE"", ""score"": -0.3256836}]",0.010633095998855424,
BAAI/bge-reranker-v2-m3,http://localhost:8011/rerank,reranker-query-v1,dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,<route name>: <route description>,True,30,2026-09-05T08:03:50.540830+00:00,case_015,medium,"На /reports, в основном при больших отчётах.",CONTINUE,CONTINUE,True,-1.9785156,-5.875,3.8964844000000003,"[{""input_index"": 0, ""name"": ""NEW"", ""score"": -5.875}, {""input_index"": 1, ""name"": ""CONTINUE"", ""score"": -1.9785156}]",0.011722471999746631,
BAAI/bge-reranker-v2-m3,http://localhost:8011/rerank,reranker-query-v1,dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,<route name>: <route description>,True,30,2026-09-05T08:03:50.540830+00:00,case_016,medium,Как создать нового пользователя через API?,NEW,CONTINUE,False,-3.8417969,-7.5273438,3.6855469,"[{""input_index"": 0, ""name"": ""NEW"", ""score"": -7.5273438}, {""input_index"": 1, ""name"": ""CONTINUE"", ""score"": -3.8417969}]",0.010978599000736722,
BAAI/bge-reranker-v2-m3,http://localhost:8011/rerank,reranker-query-v1,dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,<route name>: <route description>,True,30,2026-09-05T08:03:50.540830+00:00,case_017,medium,Можно вместо графика вывести таблицу?,CONTINUE,CONTINUE,True,-0.69873047,-5.9375,5.23876953,"[{""input_index"": 0, ""name"": ""NEW"", ""score"": -5.9375}, {""input_index"": 1, ""name"": ""CONTINUE"", ""score"": -0.69873047}]",0.008294834000480478,
BAAI/bge-reranker-v2-m3,http://localhost:8011/rerank,reranker-query-v1,dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,<route name>: <route description>,True,30,2026-09-05T08:03:50.540830+00:00,case_018,medium,А как подключить новый MCP-инструмент?,NEW,CONTINUE,False,-1.734375,-8.453125,6.71875,"[{""input_index"": 0, ""name"": ""NEW"", ""score"": -8.453125}, {""input_index"": 1, ""name"": ""CONTINUE"", ""score"": -1.734375}]",0.010770184999273624,
BAAI/bge-reranker-v2-m3,http://localhost:8011/rerank,reranker-query-v1,dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,<route name>: <route description>,True,30,2026-09-05T08:03:50.540830+00:00,case_019,medium,А если руководитель сейчас отсутствует?,CONTINUE,CONTINUE,True,-0.6777344,-5.5859375,4.9082031,"[{""input_index"": 0, ""name"": ""NEW"", ""score"": -5.5859375}, {""input_index"": 1, ""name"": ""CONTINUE"", ""score"": -0.6777344}]",0.011546109000846627,
BAAI/bge-reranker-v2-m3,http://localhost:8011/rerank,reranker-query-v1,dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,<route name>: <route description>,True,30,2026-09-05T08:03:50.540830+00:00,case_020,medium,А как назначить роль аналитика Иванову?,NEW,CONTINUE,False,-3.9765625,-7.7265625,3.75,"[{""input_index"": 0, ""name"": ""NEW"", ""score"": -7.7265625}, {""input_index"": 1, ""name"": ""CONTINUE"", ""score"": -3.9765625}]",0.012521149999884074,
BAAI/bge-reranker-v2-m3,http://localhost:8011/rerank,reranker-query-v1,dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,<route name>: <route description>,True,30,2026-09-05T08:03:50.540830+00:00,case_021,medium,Сформируй новый отчёт по сотрудникам.,NEW,CONTINUE,False,-1.7089844,-4.9492188,3.2402343999999994,"[{""input_index"": 0, ""name"": ""NEW"", ""score"": -4.9492188}, {""input_index"": 1, ""name"": ""CONTINUE"", ""score"": -1.7089844}]",0.012177852000604616,
BAAI/bge-reranker-v2-m3,http://localhost:8011/rerank,reranker-query-v1,dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,<route name>: <route description>,True,30,2026-09-05T08:03:50.540830+00:00,case_022,medium,А где изменить номер телефона в профиле?,NEW,CONTINUE,False,-0.48120117,-6.0429688,5.561767629999999,"[{""input_index"": 0, ""name"": ""NEW"", ""score"": -6.0429688}, {""input_index"": 1, ""name"": ""CONTINUE"", ""score"": -0.48120117}]",0.008313749000080861,
BAAI/bge-reranker-v2-m3,http://localhost:8011/rerank,reranker-query-v1,dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,<route name>: <route description>,True,30,2026-09-05T08:03:50.540830+00:00,case_023,hard,"Да. А если попробовать через VPN, это может помочь?",CONTINUE,CONTINUE,True,-0.54248047,-5.8203125,5.27783203,"[{""input_index"": 0, ""name"": ""NEW"", ""score"": -5.8203125}, {""input_index"": 1, ""name"": ""CONTINUE"", ""score"": -0.54248047}]",0.01050380200103973,
BAAI/bge-reranker-v2-m3,http://localhost:8011/rerank,reranker-query-v1,dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,<route name>: <route description>,True,30,2026-09-05T08:03:50.540830+00:00,case_024,hard,"Спасибо, вошёл. А уведомления как отключить?",NEW,CONTINUE,False,-1.6669922,-6.4492188,4.7822265999999996,"[{""input_index"": 0, ""name"": ""NEW"", ""score"": -6.4492188}, {""input_index"": 1, ""name"": ""CONTINUE"", ""score"": -1.6669922}]",0.01165772999956971,
BAAI/bge-reranker-v2-m3,http://localhost:8011/rerank,reranker-query-v1,dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,<route name>: <route description>,True,30,2026-09-05T08:03:50.540830+00:00,case_025,hard,После перехода мои сохранённые отчёты останутся?,CONTINUE,CONTINUE,True,-0.6948242,-7.359375,6.6645508,"[{""input_index"": 0, ""name"": ""NEW"", ""score"": -7.359375}, {""input_index"": 1, ""name"": ""CONTINUE"", ""score"": -0.6948242}]",0.011329119999572868,
BAAI/bge-reranker-v2-m3,http://localhost:8011/rerank,reranker-query-v1,dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,<route name>: <route description>,True,30,2026-09-05T08:03:50.540830+00:00,case_026,hard,"Тогда Pro. И ещё скажите, как удалить аккаунт.",NEW,CONTINUE,False,-2.5996094,-7.6953125,5.0957031,"[{""input_index"": 0, ""name"": ""NEW"", ""score"": -7.6953125}, {""input_index"": 1, ""name"": ""CONTINUE"", ""score"": -2.5996094}]",0.008314359998621512,
BAAI/bge-reranker-v2-m3,http://localhost:8011/rerank,reranker-query-v1,dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,<route name>: <route description>,True,30,2026-09-05T08:03:50.540830+00:00,case_027,hard,Иногда ещё появляется 500. Это может быть связано?,CONTINUE,CONTINUE,True,-1.4414062,-6.2617188,4.820312599999999,"[{""input_index"": 0, ""name"": ""NEW"", ""score"": -6.2617188}, {""input_index"": 1, ""name"": ""CONTINUE"", ""score"": -1.4414062}]",0.010749035000117146,
BAAI/bge-reranker-v2-m3,http://localhost:8011/rerank,reranker-query-v1,dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,<route name>: <route description>,True,30,2026-09-05T08:03:50.540830+00:00,case_028,hard,"Не помогает. Кстати, где посмотреть историю платежей?",NEW,CONTINUE,False,-1.0537109,-5.0234375,3.9697266,"[{""input_index"": 0, ""name"": ""NEW"", ""score"": -5.0234375}, {""input_index"": 1, ""name"": ""CONTINUE"", ""score"": -1.0537109}]",0.011233299001105479,
BAAI/bge-reranker-v2-m3,http://localhost:8011/rerank,reranker-query-v1,dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,<route name>: <route description>,True,30,2026-09-05T08:03:50.540830+00:00,case_029,hard,Убери Санкт-Петербург и сравни Москву с Казанью за тот же период.,CONTINUE,CONTINUE,True,-1.7724609,-8.2265625,6.4541015999999996,"[{""input_index"": 0, ""name"": ""NEW"", ""score"": -8.2265625}, {""input_index"": 1, ""name"": ""CONTINUE"", ""score"": -1.7724609}]",0.01520686800176918,
BAAI/bge-reranker-v2-m3,http://localhost:8011/rerank,reranker-query-v1,dataset_v2.jsonl,fe6357ef072442689848d72f942828f5d12da4f71611fd86b4f9ceeddad6088c,routes_new_first.json,1f6d70be7c652d0514ee4809483afad17256e3b65f5e2126b1577ff3ec4139e8,<route name>: <route description>,True,30,2026-09-05T08:03:50.540830+00:00,case_030,hard,Сохрани результат. И создай встречу с отделом продаж на завтра.,NEW,CONTINUE,False,-1.9257812,-7.9453125,6.0195313,"[{""input_index"": 0, ""name"": ""NEW"", ""score"": -7.9453125}, {""input_index"": 1, ""name"": ""CONTINUE"", ""score"": -1.9257812}]",0.015099946000191267,
