id,difficulty,message,expected_route,predicted_route,predicted_sum,correct,correct_sum,confidence,margin,routes_json,latency_sec,error
case_011,easy,Теперь создай отпуск Иванову.,NEW,NEW,NEW,True,True,0.9282114746281621,0.8564229492563242,"{""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-0.005939689930528402], ""sum_logprob"": -0.005939689930528402, ""mean_logprob"": -0.005939689930528402, ""normalized_score_probability"": 0.9282114746281621}, ""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-5.130939483642578, -9.775113539944869e-06], ""sum_logprob"": -5.130949258756118, ""mean_logprob"": -2.565474629378059, ""normalized_score_probability"": 0.07178852537183787}}",0.252208238998719,
case_012,easy,"Да, у всех отчётов белый экран.",CONTINUE,CONTINUE,CONTINUE,True,True,0.9995418173362584,0.9990836346725166,"{""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-7.688072681427002], ""sum_logprob"": -7.688072681427002, ""mean_logprob"": -7.688072681427002, ""normalized_score_probability"": 0.0004581826637417239}, ""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-0.0005727558163926005, -3.933898824470816e-06], ""sum_logprob"": -0.0005766897152170714, ""mean_logprob"": -0.0002883448576085357, ""normalized_score_probability"": 0.9995418173362584}}",0.25330683199899795,
case_013,medium,А адрес доставки ещё можно изменить?,CONTINUE,CONTINUE,CONTINUE,True,True,0.9999937595179645,0.9999875190359292,"{""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-11.984524726867676], ""sum_logprob"": -11.984524726867676, ""mean_logprob"": -11.984524726867676, ""normalized_score_probability"": 6.240482035375336e-06}, ""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-0.00014959646796341985, -6.079655122448457e-06], ""sum_logprob"": -0.0001556761230858683, ""mean_logprob"": -7.783806154293416e-05, ""normalized_score_probability"": 0.9999937595179645}}",0.24495054700128094,
case_014,medium,А где изменить email в профиле?,NEW,NEW,NEW,True,True,0.7288434188083968,0.4576868376167935,"{""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-0.11623498052358627], ""sum_logprob"": -0.11623498052358627, ""mean_logprob"": -0.11623498052358627, ""normalized_score_probability"": 0.7288434188083968}, ""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-2.2099850177764893, -9.894321920000948e-06], ""sum_logprob"": -2.2099949120984093, ""mean_logprob"": -1.1049974560492046, ""normalized_score_probability"": 0.27115658119160324}}",0.25100569100141,
case_015,medium,"На /reports, в основном при больших отчётах.",CONTINUE,CONTINUE,CONTINUE,True,True,0.9999973160133757,0.9999946320267514,"{""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-12.828287124633789], ""sum_logprob"": -12.828287124633789, ""mean_logprob"": -12.828287124633789, ""normalized_score_probability"": 2.6839866243032385e-06}, ""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-0.00016199229867197573, -2.9802276912960224e-06], ""sum_logprob"": -0.00016497252636327175, ""mean_logprob"": -8.248626318163588e-05, ""normalized_score_probability"": 0.9999973160133757}}",0.25025826999990386,
case_016,medium,Как создать нового пользователя через API?,NEW,NEW,NEW,True,True,0.9397978808371852,0.8795957616743704,"{""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-0.004094313830137253], ""sum_logprob"": -0.004094313830137253, ""mean_logprob"": -0.004094313830137253, ""normalized_score_probability"": 0.9397978808371852}, ""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-5.504094123840332, -9.059865078597795e-06], ""sum_logprob"": -5.504103183705411, ""mean_logprob"": -2.7520515918527053, ""normalized_score_probability"": 0.06020211916281479}}",0.24372610699901998,
case_017,medium,Можно вместо графика вывести таблицу?,CONTINUE,CONTINUE,CONTINUE,True,True,0.999726330230884,0.999452660461768,"{""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-8.203495025634766], ""sum_logprob"": -8.203495025634766, ""mean_logprob"": -8.203495025634766, ""normalized_score_probability"": 0.0002736697691160793}, ""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-0.0003545847721397877, -6.079655122448457e-06], ""sum_logprob"": -0.00036066442726223613, ""mean_logprob"": -0.00018033221363111807, ""normalized_score_probability"": 0.999726330230884}}",0.23898961099985172,
case_018,medium,А как подключить новый MCP-инструмент?,NEW,NEW,NEW,True,True,0.8729421590529877,0.7458843181059752,"{""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-0.02055474743247032], ""sum_logprob"": -0.02055474743247032, ""mean_logprob"": -0.02055474743247032, ""normalized_score_probability"": 0.8729421590529877}, ""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-3.895554780960083, -8.4638240878121e-06], ""sum_logprob"": -3.895563244784171, ""mean_logprob"": -1.9477816223920854, ""normalized_score_probability"": 0.12705784094701245}}",0.24942218299838714,
case_019,medium,А если руководитель сейчас отсутствует?,CONTINUE,CONTINUE,CONTINUE,True,True,0.9999720331593324,0.9999440663186647,"{""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-10.4845552444458], ""sum_logprob"": -10.4845552444458, ""mean_logprob"": -10.4845552444458, ""normalized_score_probability"": 2.7966840667618105e-05}, ""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-0.0001805857609724626, -3.814689989667386e-06], ""sum_logprob"": -0.00018440045096212998, ""mean_logprob"": -9.220022548106499e-05, ""normalized_score_probability"": 0.9999720331593324}}",0.2497155160017428,
case_020,medium,А как назначить роль аналитика Иванову?,NEW,CONTINUE,CONTINUE,False,False,0.9999757010382082,0.9999514020764165,"{""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-10.625109672546387], ""sum_logprob"": -10.625109672546387, ""mean_logprob"": -10.625109672546387, ""normalized_score_probability"": 2.4298961791726126e-05}, ""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-0.00010930894495686516, -4.768360213347478e-06], ""sum_logprob"": -0.00011407730517021264, ""mean_logprob"": -5.703865258510632e-05, ""normalized_score_probability"": 0.9999757010382082}}",0.2553428039991559,
case_021,medium,Сформируй новый отчёт по сотрудникам.,NEW,CONTINUE,CONTINUE,False,False,0.9999611709824353,0.9999223419648705,"{""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-10.15636157989502], ""sum_logprob"": -10.15636157989502, ""mean_logprob"": -10.15636157989502, ""normalized_score_probability"": 3.882901756476439e-05}, ""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-0.0001113352773245424, -4.0531076592742465e-06], ""sum_logprob"": -0.00011538838498381665, ""mean_logprob"": -5.7694192491908325e-05, ""normalized_score_probability"": 0.9999611709824353}}",0.24993454900140932,
case_022,medium,А где изменить номер телефона в профиле?,NEW,CONTINUE,CONTINUE,False,False,0.9954721111742852,0.9909442223485705,"{""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-5.395303726196289], ""sum_logprob"": -5.395303726196289, ""mean_logprob"": -5.395303726196289, ""normalized_score_probability"": 0.0045278888257147525}, ""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-0.004678493831306696, -6.318072337307967e-06], ""sum_logprob"": -0.004684811903644004, ""mean_logprob"": -0.002342405951822002, ""normalized_score_probability"": 0.9954721111742852}}",0.2513281800002005,
case_023,hard,"Да. А если попробовать через VPN, это может помочь?",CONTINUE,CONTINUE,CONTINUE,True,True,0.9999452437323382,0.9998904874646763,"{""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-9.81263256072998], ""sum_logprob"": -9.81263256072998, ""mean_logprob"": -9.81263256072998, ""normalized_score_probability"": 5.475626766179281e-05}, ""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-0.00013302871957421303, -4.172316494077677e-06], ""sum_logprob"": -0.0001372010360682907, ""mean_logprob"": -6.860051803414535e-05, ""normalized_score_probability"": 0.9999452437323382}}",0.25017134600057034,
case_024,hard,"Спасибо, вошёл. А уведомления как отключить?",NEW,CONTINUE,CONTINUE,False,False,0.999726323641776,0.9994526472835522,"{""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-8.203462600708008], ""sum_logprob"": -8.203462600708008, ""mean_logprob"": -8.203462600708008, ""normalized_score_probability"": 0.00027367635822389335}, ""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-0.00033790123416110873, -6.079655122448457e-06], ""sum_logprob"": -0.0003439808892835572, ""mean_logprob"": -0.0001719904446417786, ""normalized_score_probability"": 0.999726323641776}}",0.24959305499942275,
case_025,hard,После перехода мои сохранённые отчёты останутся?,CONTINUE,CONTINUE,CONTINUE,True,True,0.9997731058099034,0.9995462116198067,"{""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-8.39098072052002], ""sum_logprob"": -8.39098072052002, ""mean_logprob"": -8.39098072052002, ""normalized_score_probability"": 0.00022689419009664825}, ""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-0.00035613393993116915, -5.602820692729438e-06], ""sum_logprob"": -0.0003617367606238986, ""mean_logprob"": -0.0001808683803119493, ""normalized_score_probability"": 0.9997731058099034}}",0.2485493559997849,
case_026,hard,"Тогда Pro. И ещё скажите, как удалить аккаунт.",NEW,CONTINUE,CONTINUE,False,False,0.9985232236888716,0.9970464473777432,"{""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-6.517210483551025], ""sum_logprob"": -6.517210483551025, ""mean_logprob"": -6.517210483551025, ""normalized_score_probability"": 0.0014767763111283969}, ""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-0.0015855372184887528, -3.6954811548639555e-06], ""sum_logprob"": -0.0015892326996436168, ""mean_logprob"": -0.0007946163498218084, ""normalized_score_probability"": 0.9985232236888716}}",0.2503968420023739,
case_027,hard,Иногда ещё появляется 500. Это может быть связано?,CONTINUE,CONTINUE,CONTINUE,True,True,0.9999753188316507,0.9999506376633014,"{""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-10.609519004821777], ""sum_logprob"": -10.609519004821777, ""mean_logprob"": -10.609519004821777, ""normalized_score_probability"": 2.468116834934168e-05}, ""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-0.00014375607133843005, -3.576272320060525e-06], ""sum_logprob"": -0.00014733234365849057, ""mean_logprob"": -7.366617182924529e-05, ""normalized_score_probability"": 0.9999753188316507}}",0.24942450799790095,
case_028,hard,"Не помогает. Кстати, где посмотреть историю платежей?",NEW,CONTINUE,CONTINUE,False,False,0.9994889023896663,0.9989778047793326,"{""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-7.578756809234619], ""sum_logprob"": -7.578756809234619, ""mean_logprob"": -7.578756809234619, ""normalized_score_probability"": 0.0005110976103336726}, ""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-0.000631848000921309, -4.291525328881107e-06], ""sum_logprob"": -0.0006361395262501901, ""mean_logprob"": -0.00031806976312509505, ""normalized_score_probability"": 0.9994889023896663}}",0.2502722970002651,
case_029,hard,Убери Санкт-Петербург и сравни Москву с Казанью за тот же период.,CONTINUE,NEW,NEW,False,False,0.9449067935062233,0.8898135870124466,"{""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-0.0033887361641973257], ""sum_logprob"": -0.0033887361641973257, ""mean_logprob"": -0.0033887361641973257, ""normalized_score_probability"": 0.9449067935062233}, ""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-5.69088888168335, -8.34461570775602e-06], ""sum_logprob"": -5.690897226299057, ""mean_logprob"": -2.8454486131495287, ""normalized_score_probability"": 0.055093206493776664}}",0.2574871990000247,
case_030,hard,Сохрани результат. И создай встречу с отделом продаж на завтра.,NEW,NEW,NEW,True,True,0.9998804017925915,0.999760803585183,"{""NEW"": {""token_ids"": [20594], ""token_count"": 1, ""token_logprobs"": [-5.602820692729438e-06], ""sum_logprob"": -5.602820692729438e-06, ""mean_logprob"": -5.602820692729438e-06, ""normalized_score_probability"": 0.9998804017925915}, ""CONTINUE"": {""token_ids"": [23312, 48771], ""token_count"": 2, ""token_logprobs"": [-18.0625057220459, -1.168244216387393e-05], ""sum_logprob"": -18.062517404488062, ""mean_logprob"": -9.031258702244031, ""normalized_score_probability"": 0.00011959820740851539}}",0.2584582309991674,
